,,DatasetA,,,,DatasetB,,,,MelderScore,MelderResult
SNo,Use Case,CompanyName,Address,SSN,LegalType,CompanyName,Address,SSN,LegalType,,
1,Exact match,Acme Corporation,"100 Main Street, New York, NY 10001",954789512,CORP,Acme Corporation,"100 Main Street, New York, NY 10001",954789512,CORP,,
,,Acme Corporation,"100 Main Street, New York, NY 10001",,LLC,Acme Corporation,"100 Main Street, New York, NY 10001",954789512,,,
,,GLOBAL LOGISTICS INC,"New York, NY 10001",,,GLOBAL LOGISTICS INC,New York,578412589,CORP,,
,,,,,,,,,,,
2,Normalized exact match,ACME LOGISTICS INC,"100 Main Street, New York, NY 10001",,,acme logistics inc,"100 Main Street, New York, NY 10001",954789512,COOP,,
,,Apex Financial Corporation,,123456789,PLAN,Apex Financial Corp,"500 Innovation Way, Austin, TX 78701",987654321,LLC,,
,,Global Tech Services,"1200 Pacific Highway, San Diego, CA 92101",321654987,CORP,global tech services,"750 Broad Street, Newark, NJ 07102",321654987,CORP,,
,,,,,,,,,,,
3,Keyboard error correction,cme Corporation,"100 Main Street, New York, NY 10001",954789512,NGO,Acne Corporation,"100 Main Street, New York, NY 10001",,,,
,,Global Logistics Inc,"450 North Oak Avenue, Chicago, IL 60601",578412589,INC,Golbal Logistics Inc,"450 North Oak Avenue, Chicago, IL 60601",578412589,LLC,,
,,Horizon Financial Services,"750 Broad Street, Newark, NJ 07102",456789123,LLC,Horizn Finacial Services,"750 Broad Street, Newark, NJ 07102",456789999,LLC,,
,,,,,,,,,,,
4,Fuzzy matching,Delta Consulting Group,"1200 Pacific Highway, San Diego, CA 92101",321654987,LLC,Dalta Cnosulting Gropu,"100 Market St, San Francisco, CA 94105",321654987,,,
,,Pinnacle Financial Group,"300 Capitol St, Houston, TX 77002",987654321,CORP,Pnnacle Fnancial Group,"300 Capitol St, Houston, TX 77002",,,,
,,Zenith Industrial Supplies,"500 Airport Rd, Phoenix, AZ 85001",111222333,LLC,Zenith Industrail Suplies,"100 Broadway, New York, NY 10005",999888777,INC,,
,,,,,,,,,,,
